player,role,nationality,is_wicketkeeper,is_uncapped,auction_set,allrounder_score
Romario Shepherd,All-rounder,Overseas,No,No,Overseas All-rounder,258.3049375
Venkatesh Iyer,All-rounder,Indian,No,No,Indian All-rounder,237.0280625
Riyan Parag,All-rounder,Indian,No,No,Indian All-rounder,226.4374375
Shivam Dube,All-rounder,Indian,No,No,Indian All-rounder,224.7960625
Sunil Narine,All-rounder,Overseas,No,No,Overseas All-rounder,222.2481875
Shardul Thakur,All-rounder,Indian,No,No,Indian All-rounder,221.303125
Ayush Badoni,All-rounder,Indian,No,Yes,Uncapped Indian,215.6538125
Abdul Samad,All-rounder,Indian,No,Yes,Uncapped Indian,213.383875
Vijay Shankar,All-rounder,Indian,No,Yes,Uncapped Indian,209.977625
Naman Dhir,All-rounder,Indian,No,Yes,Uncapped Indian,207.508375
Ashutosh Sharma,All-rounder,Indian,No,Yes,Uncapped Indian,205.820875
Rachin Ravindra,All-rounder,Overseas,No,No,Overseas All-rounder,204.1811875
Pat Cummins,All-rounder,Overseas,No,No,Overseas All-rounder,196.7633125
Rahul Tewatia,All-rounder,Indian,No,Yes,Uncapped Indian,195.2210625
Abhishek Sharma,All-rounder,Indian,No,No,Indian All-rounder,191.13075
Andre Russell,All-rounder,Overseas,No,No,Overseas All-rounder,189.4383125
Ramandeep Singh,All-rounder,Indian,No,Yes,Uncapped Indian,187.078
Ravindra Jadeja,All-rounder,Indian,No,No,Indian All-rounder,181.20475
Deepak Hooda,All-rounder,Indian,No,No,Indian All-rounder,177.2979375
Krunal Pandya,All-rounder,Indian,No,No,Indian All-rounder,176.6021875
Shahrukh Khan,All-rounder,Indian,No,Yes,Uncapped Indian,173.623375
Mahipal Lomror,All-rounder,Indian,No,Yes,Uncapped Indian,172.95
Vipraj Nigam,All-rounder,Indian,No,Yes,Uncapped Indian,162.6341875
Hardik Pandya,All-rounder,Indian,No,No,Indian All-rounder,162.434375
Matthew Short,All-rounder,Overseas,No,No,Overseas All-rounder,161.8896875
Ben Cutting,All-rounder,Overseas,No,No,Overseas All-rounder,160.0
Ravi Ashwin,All-rounder,Indian,No,No,Indian All-rounder,160.0
Mitchell Marsh,All-rounder,Overseas,No,No,Overseas All-rounder,159.6855625
Cameron Green,All-rounder,Overseas,No,No,Overseas All-rounder,159.37237499999998
Michael Bracewell,All-rounder,Overseas,No,No,Overseas All-rounder,157.85625000000002
Sikandar Raza,All-rounder,Overseas,No,No,Overseas All-rounder,147.74562500000002
Rajvardhan Hangargekar,All-rounder,Indian,No,Yes,Uncapped Indian,146.875
Swapnil Singh,All-rounder,Indian,No,Yes,Uncapped Indian,143.295875
Will Jacks,All-rounder,Overseas,No,No,Overseas All-rounder,139.34762500000002
Wanindu Hasaranga,All-rounder,Overseas,No,No,Overseas All-rounder,136.50875000000002
Glenn Maxwell,All-rounder,Overseas,No,No,Overseas All-rounder,134.8719375
Moeen Ali,All-rounder,Overseas,No,No,Overseas All-rounder,128.99875
Lalit Yadav,All-rounder,Indian,No,Yes,Uncapped Indian,126.158
Kyle Jamieson,All-rounder,Overseas,No,No,Overseas All-rounder,121.75
Daryl Mitchell,All-rounder,Overseas,No,No,Overseas All-rounder,116.886625
Nitish Kumar Reddy,All-rounder,Indian,No,No,Indian All-rounder,116.56525
Jason Holder,All-rounder,Overseas,No,No,Overseas All-rounder,114.7965625
Anukul Roy,All-rounder,Indian,No,Yes,Uncapped Indian,108.7996875
Mitchell Santner,All-rounder,Overseas,No,No,Overseas All-rounder,107.6688125
Azmatullah Omarzai,All-rounder,Overseas,No,No,Overseas All-rounder,105.8603125
Liam Livingstone,All-rounder,Overseas,No,No,Overseas All-rounder,92.7460625
Sam Curran,All-rounder,Overseas,No,No,Overseas All-rounder,23.6629375
Washington Sundar,All-rounder,Indian,No,No,Indian All-rounder,-0.705937500000001
Marcus Stoinis,All-rounder,Overseas,No,No,Overseas All-rounder,-33.65599999999999
Shahbaz Ahmed,All-rounder,Indian,No,No,Indian All-rounder,-49.8659375
