player,role,nationality,is_wicketkeeper,is_uncapped,auction_set,batting_score
Virat Kohli,Batter,Indian,No,No,Indian Batter,328.934125
Shubman Gill,Batter,Indian,No,No,Indian Batter,286.29637499999995
Sai Sudharsan,Batter,Indian,No,No,Indian Batter,269.3645
Yashasvi Jaiswal,Batter,Indian,No,No,Indian Batter,265.214
Nicholas Pooran,Wicketkeeper,Overseas,Yes,No,Overseas Wicketkeeper,242.43149999999997
Heinrich Klaasen,Wicketkeeper,Overseas,Yes,No,Overseas Wicketkeeper,238.3585
Jos Buttler,Wicketkeeper,Overseas,Yes,No,Overseas Wicketkeeper,228.0345
Prabhsimran Singh,Wicketkeeper,Indian,Yes,Yes,Uncapped Indian,214.85249999999996
Ruturaj Gaikwad,Batter,Indian,No,No,Indian Batter,196.19125
Sanju Samson,Wicketkeeper,Indian,Yes,No,Indian Wicketkeeper,192.222
Shreyas Iyer,Batter,Indian,No,No,Indian Batter,187.782
Ishan Kishan,Wicketkeeper,Indian,Yes,No,Indian Wicketkeeper,184.71825
Rohit Sharma,Batter,Indian,No,No,Indian Batter,182.851625
Tilak Varma,Batter,Indian,No,No,Indian Batter,177.625125
Travis Head,Batter,Overseas,No,No,Overseas Batter,173.392875
Aiden Markram,Batter,Overseas,No,No,Overseas Batter,169.912875
Ajinkya Rahane,Batter,Indian,No,No,Indian Batter,164.9595
Phil Salt,Wicketkeeper,Overseas,Yes,No,Overseas Wicketkeeper,164.33925
Rinku Singh,Batter,Indian,No,No,Indian Batter,142.76475
Tristan Stubbs,Batter,Overseas,No,No,Overseas Batter,140.40125
Dhruv Jurel,Wicketkeeper,Indian,Yes,No,Indian Wicketkeeper,139.824875
Rajat Patidar,Batter,Indian,No,No,Indian Batter,137.05237499999998
Jitesh Sharma,Wicketkeeper,Indian,Yes,No,Indian Wicketkeeper,134.81125
Abhishek Porel,Wicketkeeper,Indian,Yes,Yes,Uncapped Indian,130.80325
Tim David,Batter,Overseas,No,No,Overseas Batter,129.97075
Suryakumar Yadav,Batter,Indian,No,No,Indian Batter,125.559625
Nitish Rana,Batter,Indian,No,No,Indian Batter,125.269125
Shimron Hetmyer,Batter,Overseas,No,No,Overseas Batter,123.80875
David Miller,Batter,Overseas,No,No,Overseas Batter,113.244625
MS Dhoni,Wicketkeeper,Indian,Yes,Yes,Uncapped Indian,110.456125
Devon Conway,Batter,Overseas,No,No,Overseas Batter,108.787
Devdutt Padikkal,Batter,Indian,No,No,Indian Batter,108.331
Priyansh Arya,Batter,Indian,No,Yes,Uncapped Indian,107.12025
Angkrish Raghuvanshi,Batter,Indian,No,Yes,Uncapped Indian,100.95075
David Warner,Batter,Overseas,No,No,Overseas Batter,93.975625
Ryan Rickelton,Wicketkeeper,Overseas,Yes,No,Overseas Wicketkeeper,88.20225
Faf du Plessis,Batter,Overseas,No,No,Overseas Batter,86.989375
Jonny Bairstow,Wicketkeeper,Overseas,Yes,No,Overseas Wicketkeeper,86.94299999999998
Mayank Agarwal,Batter,Indian,No,No,Indian Batter,86.162875
Dewald Brevis,Batter,Overseas,No,No,Overseas Batter,82.14675
Rishabh Pant,Wicketkeeper,Indian,Yes,No,Indian Wicketkeeper,78.50325000000001
Shikhar Dhawan,Batter,Indian,No,No,Indian Batter,77.07012499999999
Dinesh Karthik,Wicketkeeper,Indian,Yes,No,Indian Wicketkeeper,76.61275
Manish Pandey,Batter,Indian,No,No,Indian Batter,76.51875
Vaibhav Suryavanshi,Batter,Indian,No,Yes,Uncapped Indian,73.72687499999999
Rilee Rossouw,Batter,Overseas,No,No,Overseas Batter,69.94337499999999
Ayush Mhatre,Batter,Indian,No,Yes,Uncapped Indian,65.16675000000001
Wriddhiman Saha,Wicketkeeper,Indian,Yes,No,Indian Wicketkeeper,60.14149999999999
Karun Nair,Batter,Indian,No,Yes,Uncapped Indian,55.5885
Shashank Singh,Batter,Indian,No,Yes,Uncapped Indian,55.538374999999995
Abhinav Manohar,Batter,Indian,No,Yes,Uncapped Indian,47.478125
KL Rahul,Wicketkeeper,Indian,Yes,No,Indian Wicketkeeper,35.691874999999996
Quinton de Kock,Wicketkeeper,Overseas,Yes,No,Overseas Wicketkeeper,24.759375
Glenn Phillips,Batter,Overseas,No,No,Overseas Batter,14.979375
Sarfaraz Khan,Batter,Indian,No,No,Indian Batter,9.6025
Ben Duckett,Batter,Overseas,No,No,Overseas Batter,0.0
Jake Fraser-McGurk,Batter,Overseas,No,No,Overseas Batter,0.0
