player,role,nationality,is_wicketkeeper,is_uncapped,auction_set,bowling_score
Varun Chakravarthy,Bowler,Indian,No,No,Indian Bowler,419.0925
Jasprit Bumrah,Bowler,Indian,No,No,Indian Bowler,417.3575
Prasidh Krishna,Bowler,Indian,No,No,Indian Bowler,407.615
Arshdeep Singh,Bowler,Indian,No,No,Indian Bowler,385.11
Trent Boult,Bowler,Overseas,No,No,Overseas Bowler,379.11
Mohammed Shami,Bowler,Indian,No,No,Indian Bowler,367.775
Noor Ahmad,Bowler,Overseas,No,No,Overseas Bowler,364.8575
Yuzvendra Chahal,Bowler,Indian,No,No,Indian Bowler,364.43
Harshal Patel,Bowler,Indian,No,No,Indian Bowler,360.26
Josh Hazlewood,Bowler,Overseas,No,No,Overseas Bowler,348.0575
Piyush Chawla,Bowler,Indian,No,Yes,Uncapped Indian,344.87
Sai Kishore,Bowler,Indian,No,No,Indian Bowler,334.895
Mohammed Siraj,Bowler,Indian,No,No,Indian Bowler,330.52250000000004
Mark Wood,Bowler,Overseas,No,No,Overseas Bowler,326.175
Kuldeep Yadav,Bowler,Indian,No,No,Indian Bowler,320.125
Dilshan Madushanka,Bowler,Overseas,No,No,Overseas Bowler,320.0
Mujeeb Ur Rahman,Bowler,Overseas,No,No,Overseas Bowler,320.0
Vicky Ostwal,Bowler,Indian,No,Yes,Uncapped Indian,320.0
Lungi Ngidi,Bowler,Overseas,No,No,Overseas Bowler,320.0
Divgesh Rathi,Bowler,Indian,No,Yes,Uncapped Indian,320.0
Matheesha Pathirana,Bowler,Overseas,No,No,Overseas Bowler,317.91499999999996
Mitchell Starc,Bowler,Overseas,No,No,Overseas Bowler,315.46999999999997
T Natarajan,Bowler,Indian,No,No,Indian Bowler,305.12
Harshit Rana,Bowler,Indian,No,Yes,Uncapped Indian,296.66499999999996
Naveen-ul-Haq,Bowler,Overseas,No,No,Overseas Bowler,295.075
Khaleel Ahmed,Bowler,Indian,No,No,Indian Bowler,285.79
Bhuvneshwar Kumar,Bowler,Indian,No,No,Indian Bowler,283.8175
Tushar Deshpande,Bowler,Indian,No,No,Indian Bowler,282.715
Keshav Maharaj,Bowler,Overseas,No,No,Overseas Bowler,280.25
Fazalhaq Farooqi,Bowler,Overseas,No,No,Overseas Bowler,276.5125
Vaibhav Arora,Bowler,Indian,No,Yes,Uncapped Indian,276.0675
Shreyas Gopal,Bowler,Indian,No,Yes,Uncapped Indian,271.295
David Willey,Bowler,Overseas,No,No,Overseas Bowler,270.0
Mayank Markande,Bowler,Indian,No,Yes,Uncapped Indian,266.16
Avesh Khan,Bowler,Indian,No,No,Indian Bowler,253.79
Rahul Chahar,Bowler,Indian,No,No,Indian Bowler,246.625
Amit Mishra,Bowler,Indian,No,No,Indian Bowler,244.5375
Harpreet Brar,Bowler,Indian,No,No,Indian Bowler,232.01
Rashid Khan,Bowler,Overseas,No,No,Overseas Bowler,228.0225
Karn Sharma,Bowler,Indian,No,Yes,Uncapped Indian,216.775
Sandeep Sharma,Bowler,Indian,No,Yes,Uncapped Indian,210.5525
Ravi Bishnoi,Bowler,Indian,No,No,Indian Bowler,205.4175
Mohsin Khan,Bowler,Indian,No,Yes,Uncapped Indian,202.835
Deepak Chahar,Bowler,Indian,No,No,Indian Bowler,198.835
Adam Zampa,Bowler,Overseas,No,No,Overseas Bowler,154.125
Yash Dayal,Bowler,Indian,No,Yes,Uncapped Indian,152.33749999999998
Ishant Sharma,Bowler,Indian,No,No,Indian Bowler,148.3475
Jofra Archer,Bowler,Overseas,No,No,Overseas Bowler,128.48
Gerald Coetzee,Bowler,Overseas,No,No,Overseas Bowler,125.675
Aakash Madhwal,Bowler,Indian,No,Yes,Uncapped Indian,113.2025
Maheesh Theekshana,Bowler,Overseas,No,No,Overseas Bowler,105.5725
Marco Jansen,Bowler,Overseas,No,No,Overseas Bowler,88.355
Lockie Ferguson,Bowler,Overseas,No,No,Overseas Bowler,84.28000000000002
Alzarri Joseph,Bowler,Overseas,No,No,Overseas Bowler,78.95500000000001
Kagiso Rabada,Bowler,Overseas,No,No,Overseas Bowler,31.019999999999996
Umesh Yadav,Bowler,Indian,No,No,Indian Bowler,29.25
Mohit Sharma,Bowler,Indian,No,Yes,Uncapped Indian,-8.85250000000002
Anrich Nortje,Bowler,Overseas,No,No,Overseas Bowler,-15.655
Aakash Deep,Bowler,Indian,No,No,Indian Bowler,-110.3475
